T78: Car from 47490 arrived at station 47500 and entered queue
T78: Car from 47490 began charging at station 47500 for 29 minutes
T79: Car appeared at 47643, not in range
T79: Car appeared at 47671, not in range
T80: Car appeared at 47570, not in range
T80: Car appeared at 47578, not in range
T80: Car appeared at 47584, not in range
T80: Car appeared at 47590, not in range
T80: Car appeared at 47671, not in range
T80: Car appeared at 47672, not in range
T80: Car appeared at 47826, not in range
T80: Car appeared at 48010, not in range
T81: Car appeared at 47643, not in range
T81: Car appeared at 47671, not in range
T81: Car appeared at 47695, not in range
T81: Car appeared at 47720, not in range
T82: Car appeared at 47610, not in range
T82: Car appeared at 47643, not in range
T83: Car appeared at 47520, driving for 14 mins to 47500
T83: Car appeared at 47598, not in range
T83: Car appeared at 47643, not in range
T83: Car appeared at 47672, not in range
T83: Car appeared at 47820, not in range
T84: Car appeared at 47534, driving for 21 mins to 47500
T84: Car appeared at 47577, not in range
T84: Car appeared at 47596, not in range
T84: Car appeared at 47607, not in range
T84: Car appeared at 47776, not in range
T84: Car left station 47500
T85: Car appeared at 47602, not in range
T86: Car appeared at 47430, not in range
T86: Car appeared at 47584, not in range
T86: Car appeared at 47685, not in range
T86: Car appeared at 47780, not in range
T87: Car appeared at 47445, not in range
T87: Car appeared at 47490, driving for 12 mins to 47500
T87: Car appeared at 47590, not in range
T87: Car appeared at 47604, not in range
T87: Car appeared at 47612, not in range
T87: Car appeared at 47671, not in range
T87: Car appeared at 47672, not in range
T88: Car appeared at 47260, not in range
T88: Car appeared at 47484, driving for 17 mins to 47500
T88: Car appeared at 47604, not in range
T88: Car appeared at 47622, not in range
T88: Car appeared at 47672, not in range
T88: Car appeared at 47682, not in range
T88: Car appeared at 47730, not in range
T88: Car left station 47500
T89: Car appeared at 47290, not in range
T89: Car appeared at 47566, not in range
T89: Car appeared at 47584, not in range
T89: Car appeared at 47598, not in range
T89: Car appeared at 47607, not in range
T89: Car appeared at 47790, not in range
T89: Car from 47530 arrived at station 47500 and entered queue
T89: Car from 47530 began charging at station 47500 for 26 minutes
T90: Car appeared at 47550, not in range
T90: Car appeared at 47596, not in range
T90: Car appeared at 47610, not in range
T90: Car appeared at 47643, not in range
T90: Car appeared at 47695, not in range
T91: Car appeared at 47374, not in range
T91: Car appeared at 47673, not in range
T91: Car appeared at 47710, not in range
T91: Car appeared at 47720, not in range
T91: Car appeared at 47723, not in range
T92: Car appeared at 47245, not in range
T92: Car appeared at 47413, not in range
T92: Car appeared at 47594, not in range
T92: Car appeared at 47612, not in range
T92: Car appeared at 47643, not in range
T93: Car appeared at 47598, not in range
T93: Car appeared at 47643, not in range
T93: Car from 47534 arrived at station 47500 and entered queue
T93: Car from 47534 began charging at station 47500 for 25 minutes
T95: Car appeared at 47587, not in range
T95: Car appeared at 47598, not in range
T95: Car appeared at 47610, not in range
T95: Car appeared at 47689, not in range
T95: Car appeared at 47750, not in range
T95: Car appeared at 47776, not in range
T95: Car appeared at 47793, not in range
T95: Car from 47484 arrived at station 47500 and entered queue
T95: Car from 47484 began charging at station 47500 for 19 minutes
T96: Car appeared at 47584, not in range
T96: Car appeared at 47602, not in range
T96: Car appeared at 47672, not in range
T96: Car left station 47500
T97: Car appeared at 47416, not in range
T97: Car appeared at 47575, not in range
T97: Car appeared at 47710, not in range
T97: Car appeared at 47723, not in range
T97: Car appeared at 47728, not in range
T97: Car from 47520 arrived at station 47500 and entered queue
T97: Car from 47520 began charging at station 47500 for 13 minutes
T98: Car appeared at 47575, not in range
T98: Car appeared at 47590, not in range
T98: Car appeared at 47671, not in range
T99: Car appeared at 47290, not in range
T99: Car appeared at 47598, not in range
T99: Car appeared at 47672, not in range
T99: Car appeared at 47689, not in range
T99: Car appeared at 47800, not in range
T99: Car from 47490 arrived at station 47500 and entered queue
T99: Car from 47490 began charging at station 47500 for 14 minutes
T100: Car appeared at 47566, not in range
T100: Car appeared at 47594, not in range
T100: Car appeared at 47667, not in range
T100: Car appeared at 47672, not in range
T100: Car appeared at 47720, not in range
T101: Car appeared at 47805, not in range
T102: Car appeared at 47688, not in range
T103: Car appeared at 47610, not in range
T103: Car appeared at 47622, not in range
T103: Car appeared at 47671, not in range
T103: Car appeared at 47695, not in range
T103: Car appeared at 47715, not in range
T103: Car appeared at 47740, not in range
T103: Car left station 47500
T104: Car appeared at 47622, not in range
T104: Car appeared at 47671, not in range
T105: Car appeared at 47622, not in range
T105: Car appeared at 47830, not in range
T105: Car from 47534 arrived at station 47500 and entered queue
T105: Car from 47534 began charging at station 47500 for 22 minutes
T105: Car from 47484 arrived at station 47500 and entered queue
T105: Car from 47484 began charging at station 47500 for 19 minutes
T106: Car appeared at 47570, not in range
T106: Car appeared at 47577, not in range
T106: Car appeared at 47612, not in range
T106: Car appeared at 47810, not in range
T107: Car appeared at 47250, not in range
T107: Car appeared at 47602, not in range
T107: Car appeared at 47667, not in range
T107: Car appeared at 47672, not in range
T107: Car left station 47500
T108: Car appeared at 47575, not in range
T108: Car appeared at 47689, not in range
T108: Car appeared at 47723, not in range
T108: Car appeared at 47730, not in range
T109: Car appeared at 47300, not in range
T109: Car appeared at 47596, not in range
T109: Car appeared at 47610, not in range
T109: Car appeared at 47633, not in range
T109: Car appeared at 47667, not in range
T109: Car appeared at 47685, not in range
T109: Car appeared at 47730, not in range
T110: Car appeared at 47610, not in range
T110: Car appeared at 47685, not in range
T110: Car appeared at 47823, not in range
T110: Car left station 47500
T111: Car appeared at 47633, not in range
T111: Car appeared at 47667, not in range
T111: Car appeared at 47672, not in range
T112: Car appeared at 47415, not in range
T112: Car appeared at 47590, not in range
T112: Car appeared at 47612, not in range
T112: Car appeared at 47671, not in range
T112: Car appeared at 47685, not in range
T112: Car appeared at 47800, not in range
T113: Car appeared at 47587, not in range
T113: Car appeared at 47672, not in range
T113: Car appeared at 47685, not in range
T113: Car appeared at 47715, not in range
T113: Car appeared at 47723, not in range
T113: Car left station 47500
T114: Car appeared at 47550, not in range
T114: Car appeared at 47560, not in range
T114: Car appeared at 47720, not in range
T114: Car appeared at 47776, not in range
T114: Car left station 47500
T115: Car appeared at 47689, not in range
T115: Car left station 47500
T116: Car appeared at 47622, not in range
T116: Car appeared at 47625, not in range
T116: Car appeared at 47786, not in range
T117: Car appeared at 47695, not in range
T118: Car appeared at 47720, not in range
T118: Car appeared at 47740, not in range
T118: Car appeared at 47786, not in range
T118: Car left station 47500
T119: Car appeared at 47390, not in range
T119: Car appeared at 47633, not in range
T119: Car appeared at 47647, not in range
T119: Car appeared at 47673, not in range
T119: Car appeared at 47740, not in range
T120: Car appeared at 47340, not in range
T120: Car appeared at 47700, not in range
T121: Car appeared at 47604, not in range
T121: Car appeared at 47643, not in range
T121: Car appeared at 47673, not in range
T122: Car appeared at 47625, not in range
T122: Car appeared at 47643, not in range
T122: Car appeared at 47685, not in range
T122: Car appeared at 47695, not in range
T122: Car appeared at 47920, not in range
T123: Car appeared at 47413, not in range
T123: Car appeared at 47622, not in range
T123: Car appeared at 47625, not in range
T123: Car appeared at 47820, not in range
T124: Car appeared at 47440, not in range
T124: Car appeared at 47484, driving for 17 mins to 47500
T124: Car appeared at 47688, not in range
T124: Car appeared at 47723, not in range
T124: Car left station 47500
T126: Car appeared at 47577, not in range
T126: Car appeared at 47647, not in range
T126: Car appeared at 47672, not in range
T126: Car appeared at 47685, not in range
T126: Car appeared at 47723, not in range
T127: Car appeared at 47647, not in range
T127: Car appeared at 47810, not in range
T127: Car left station 47500
T128: Car appeared at 47580, not in range
T128: Car appeared at 48000, not in range
T129: Car appeared at 47440, not in range
T129: Car appeared at 47633, not in range
T129: Car appeared at 47643, not in range
T129: Car appeared at 47695, not in range
T129: Car appeared at 47725, not in range
T130: Car appeared at 47647, not in range
T130: Car appeared at 47671, not in range
T130: Car appeared at 47672, not in range
T131: Car appeared at 47950, not in range
T132: Car appeared at 47200, not in range
T132: Car appeared at 47210, not in range
T132: Car appeared at 47220, not in range
T132: Car appeared at 47633, not in range
T132: Car appeared at 47643, not in range
T133: Car appeared at 47566, not in range
T133: Car appeared at 47590, not in range
T133: Car appeared at 47604, not in range
T133: Car appeared at 47610, not in range
T133: Car appeared at 47720, not in range
T134: Car appeared at 47322, not in range
T134: Car appeared at 47578, not in range
T134: Car appeared at 47633, not in range
T134: Car appeared at 47672, not in range
T134: Car appeared at 47845, not in range
T135: Car appeared at 47322, not in range
T135: Car appeared at 47440, not in range
T135: Car appeared at 47487, driving for 13 mins to 47500
T135: Car appeared at 47590, not in range
T135: Car appeared at 47695, not in range
T135: Car appeared at 47870, not in range
T135: Car appeared at 48010, not in range
T136: Car appeared at 47667, not in range
T136: Car appeared at 47689, not in range
T137: Car appeared at 47470, driving for 24 mins to 47500
T137: Car appeared at 47633, not in range
T137: Car appeared at 47667, not in range
T137: Car appeared at 47796, not in range
T138: Car appeared at 47602, not in range
T138: Car appeared at 47643, not in range
T138: Car appeared at 47682, not in range
T139: Car appeared at 47300, not in range
T139: Car appeared at 47610, not in range
T139: Car appeared at 47647, not in range
T139: Car appeared at 47672, not in range
T139: Car appeared at 47720, not in range
T139: Car appeared at 48010, not in range
T140: Car appeared at 47290, not in range
T140: Car appeared at 47688, not in range
T140: Car appeared at 47776, not in range
T141: Car appeared at 47596, not in range
T141: Car appeared at 47647, not in range
T141: Car appeared at 47793, not in range
T141: Car appeared at 47990, not in range
T141: Car from 47484 arrived at station 47500 and entered queue
T141: Car from 47484 began charging at station 47500 for 20 minutes
T142: Car appeared at 47487, driving for 13 mins to 47500
T142: Car appeared at 47700, not in range
T143: Car appeared at 47570, not in range
T143: Car appeared at 47625, not in range
T143: Car appeared at 47688, not in range
T143: Car appeared at 47723, not in range
T144: Car appeared at 47578, not in range
T145: Car appeared at 47625, not in range
T145: Car appeared at 47682, not in range
T145: Car appeared at 47710, not in range
T145: Car appeared at 47823, not in range
T145: Car appeared at 47845, not in range
T146: Car appeared at 47425, not in range
T146: Car appeared at 47487, driving for 13 mins to 47500
T146: Car appeared at 47570, not in range
T146: Car appeared at 47633, not in range
