LHRS,Offset,Year,Hwy No,Hwy Letter,Hwy Type,Location Description,Station #,Region,Sec Len,Con Link Len,Secondary Description,PDCS #,Pattern,DHV %,Design Hr. Dir Split %,Design Hr. Dir Split Higher Volume Direction,AADT,SADT,SAWDT,WADT,Truck %,Truck AADT,Alpha Code,Count Code,cost 1,cost 2,cost 3,Latitude,Longitude
47628,0,2019,401,,FWY,BRIMLEY RD IC-380,427,CENTRAL,1.649,0,,22,SC,6,58,N/A,353100,374800,372600,312100,8,28200,T,1,35000,56000,70000,43.779396,-79.264725
47629,0,2019,401,,FWY,KENNEDY RD IC-379 SCARBOROUGH,430,CENTRAL,1.631,0,,74,UC,9,59,N/A,358100,352800,358200,345000,8,28600,T,1,35000,56000,70000,43.775141,-79.28476
47631,0,2019,401,,FWY,WARDEN AV IC-378 SCARBOROUGH,435,CENTRAL,1.278,0,,74,UC,9,59,N/A,341500,336500,341600,329000,8,27300,T,1,35000,56000,70000,43.770418,-79.304028
47633,0,2019,401,,FWY,VICTORIA PARK AV IC-376 SCARBOROUGH,440,CENTRAL,1.444,0,,90,C,6,54,N/A,334500,365600,363400,302800,8,26800,T,1,35000,56000,70000,43.768291,-79.319643
47635,0,2019,401,,FWY,HWY 404 IC-375 DON VALLEY PKWY NORTH YORK,445,CENTRAL,2.018,0,,22,SC,6,58,N/A,351700,373300,371100,310800,8,28100,T,1,35000,56000,70000,43.767653,-79.337851
47640,0,2019,401,,FWY,LESLIE ST IC-373 NORTH YORK,450,CENTRAL,1.945,0,,74,UC,9,54,N/A,349200,344100,349300,336500,8,27900,T,1,35000,56000,70000,43.766333,-79.363129
47642,0,2019,401,,FWY,BAYVIEW AV IC-371 NORTH YORK,455,CENTRAL,2.031,0,,90,C,6,56,N/A,355200,388300,385900,321500,8,28400,T,1,35000,56000,70000,43.763397,-79.387347
47643,0,2019,401,,FWY,HWY 11 IC-369 YONGE ST NORTH YORK,460,CENTRAL,1.718,0,,74,UC,9,53,N/A,360300,355000,360400,347200,8,28800,T,1,35000,56000,70000,43.753226,-79.408383
47647,0,2019,401,,FWY,AVENUE RD IC-367 NORTH YORK,515,CENTRAL,1.08,0,,74,UC,9,52,N/A,358300,353000,358400,345200,8,28700,T,1,35000,56000,70000,43.742669,-79.422879
47650,0,2019,401,,FWY,BATHURST ST IC-366 NORTH YORK,518,CENTRAL,1.4,0,,90,C,6,51,N/A,379900,415300,412800,343900,8,30400,T,1,35000,56000,70000,43.736113,-79.433721
47652,0,2019,401,,FWY,ALLEN RD IC-365 NORTH YORK,520,CENTRAL,0.759,0,,74,UC,9,53,N/A,403600,397700,403800,388900,8,32300,T,1,35000,56000,70000,43.729897,-79.448982
47654,0,2019,401,,FWY,DUFFERIN ST IC-364 NORTH YORK,525,CENTRAL,1.95,0,,90,C,6,50,N/A,396800,433700,431100,359200,8,31700,T,1,35000,56000,70000,43.728194,-79.458056
